"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
The coeliac plexus arises from the <span class=cloze>[...]</span> of the splanchnic nerves from T5-T12.	The coeliac plexus arises from the <span class=cloze>sympathetic fibres</span> of the splanchnic nerves from T5-T12.<br><br>
The coeliac plexus arises from the sympathetic fibres of the <span class=cloze>[...]</span> from T5-T12.	The coeliac plexus arises from the sympathetic fibres of the <span class=cloze>splanchnic nerves</span> from T5-T12.<br><br>
The coeliac plexus arises from the sympathetic fibres of the splanchnic nerves from <span class=cloze>[...]</span>.	The coeliac plexus arises from the sympathetic fibres of the splanchnic nerves from <span class=cloze>T5-T12</span>.<br><br>
Cordotomy is more effective for <span class=cloze>[...]</span> than for neuropathic pain syndromes.	Cordotomy is more effective for <span class=cloze>nociceptive</span> than for neuropathic pain syndromes.<br><br>
<span class=cloze>[...]</span> is the fraction of an administered dose of unchanged drug that reaches the systemic circulation.	<span class=cloze>Bioavailiblity</span> is the fraction of an administered dose of unchanged drug that reaches the systemic circulation.<br><br>
The main metabolite of Hydromorphine is <span class=cloze>[...]</span> which is an inactive metabolite.	The main metabolite of Hydromorphine is <span class=cloze>hydromorphone-3-glucuronide</span> which is an inactive metabolite.<br><br>
The main metabolite of Hydromorphine is hydromorphone-3-glucuronide which is an <span class=cloze>[...]</span>.	The main metabolite of Hydromorphine is hydromorphone-3-glucuronide which is an <span class=cloze>inactive metabolite</span>.<br><br>
A Miami-J collar limits <span class=cloze>[...]</span> between C2 and C5.&nbsp;	A Miami-J collar limits <span class=cloze>flexion, extension and rotation</span> between C2 and C5.&nbsp;<br><br>
A Miami-J collar limits flexion, extension and rotation between <span class=cloze>[...]</span>.&nbsp;	A Miami-J collar limits flexion, extension and rotation between <span class=cloze>C2 and C5</span>.&nbsp;<br><br>
What level of spinal lesion can result in autonomic dysreflexia?	A lesion above T6
In autonomic dysreflexia, <span class=cloze>[...]</span> below a spinal lesion above the level of T6 can result in&nbsp;parasympathetic overactivity above the lesion.	In autonomic dysreflexia, <span class=cloze>sympathetic overactivity</span> below a spinal lesion above the level of T6 can result in&nbsp;parasympathetic overactivity above the lesion.<br><br>
In autonomic dysreflexia, sympathetic overactivity below a spinal lesion above the level of T6 can result in&nbsp;<span class=cloze>[...]</span> above the lesion.	In autonomic dysreflexia, sympathetic overactivity below a spinal lesion above the level of T6 can result in&nbsp;<span class=cloze>parasympathetic overactivity</span> above the lesion.<br><br>
In autonomic dysreflexia, the patient may be <span class=cloze>[...]</span>.	In autonomic dysreflexia, the patient may be <span class=cloze>hypertensive, bradycardic and flushed</span>.<br><br>
Glaucoma is an <span class=cloze>[...]</span> to using methlyphenidate.	Glaucoma is an <span class=cloze>absolute contraindication</span> to using methlyphenidate.<br><br>
<span class=cloze>[...]</span> patients attempt suicide in the&nbsp;6 months after starting antidepressants.	<span class=cloze>1:1000</span> patients attempt suicide in the&nbsp;6 months after starting antidepressants.<br><br>
1:1000 patients attempt suicide in the&nbsp;<span class=cloze>[...]</span> after starting antidepressants.	1:1000 patients attempt suicide in the&nbsp;<span class=cloze>6 months</span> after starting antidepressants.<br><br>
<span class=cloze>[...]</span> are&nbsp;not recommended in palliative care.	<span class=cloze>Monoamine oxidase inhibitors</span> are&nbsp;not recommended in palliative care.<br><br>
Monoamine oxidase inhibitors are&nbsp;<span class=cloze>[...]</span> in palliative care.	Monoamine oxidase inhibitors are&nbsp;<span class=cloze>not recommended</span> in palliative care.<br><br>
The antibacterials&nbsp;<span class=cloze>[...]</span> and&nbsp;furazolidone have clinically relevant serotinergic activity.	The antibacterials&nbsp;<span class=cloze>linezolid</span> and&nbsp;furazolidone have clinically relevant serotinergic activity.<br><br>
The antibacterials&nbsp;linezolid and&nbsp;<span class=cloze>[...]</span> have clinically relevant serotinergic activity.	The antibacterials&nbsp;linezolid and&nbsp;<span class=cloze>furazolidone</span> have clinically relevant serotinergic activity.<br><br>
Triptans such as&nbsp;<span class=cloze>[...]</span> have clinically relevant serotoninergic activity.	Triptans such as&nbsp;<span class=cloze>sumatriptan</span> have clinically relevant serotoninergic activity.<br><br>
<span class=cloze>[...]</span> is involved with&nbsp;platelet aggregation.	<span class=cloze>Serotonin</span> is involved with&nbsp;platelet aggregation.<br><br>
Serotonin is involved with&nbsp;<span class=cloze>[...]</span>.	Serotonin is involved with&nbsp;<span class=cloze>platelet aggregation</span>.<br><br>
<span class=cloze>[...]</span> and&nbsp;SSRIs are useful for hot flushes associated with menopause, hormone therapy and androgen-ablation therapy for prostate cancer.	<span class=cloze>Venaflaxine</span> and&nbsp;SSRIs are useful for hot flushes associated with menopause, hormone therapy and androgen-ablation therapy for prostate cancer.<br><br>
Venaflaxine and&nbsp;<span class=cloze>[...]</span> are useful for hot flushes associated with menopause, hormone therapy and androgen-ablation therapy for prostate cancer.	Venaflaxine and&nbsp;<span class=cloze>SSRIs</span> are useful for hot flushes associated with menopause, hormone therapy and androgen-ablation therapy for prostate cancer.<br><br>
<span class=cloze>[...]</span> suggest benefit from sertraline in&nbsp;cholestatic pruritus.	<span class=cloze>Two small RCTs</span> suggest benefit from sertraline in&nbsp;cholestatic pruritus.<br><br>
Two small RCTs suggest benefit from <span class=cloze>[...]</span> in&nbsp;cholestatic pruritus.	Two small RCTs suggest benefit from <span class=cloze>sertraline</span> in&nbsp;cholestatic pruritus.<br><br>
Two small RCTs suggest benefit from sertraline in&nbsp;<span class=cloze>[...]</span>.	Two small RCTs suggest benefit from sertraline in&nbsp;<span class=cloze>cholestatic pruritus</span>.<br><br>
For pathological laughter and crying, first line treatment is&nbsp;<span class=cloze>[...]</span>.	For pathological laughter and crying, first line treatment is&nbsp;<span class=cloze>citalopram or sertaline</span>.<br><br>
For pathological laughter and crying, second line treatment includes&nbsp;<span class=cloze>[...]</span> or nortriptyline or levodopa.	For pathological laughter and crying, second line treatment includes&nbsp;<span class=cloze>amitriptyline or imipramine</span> or nortriptyline or levodopa.<br><br>
For pathological laughter and crying, second line treatment includes&nbsp;amitriptyline or imipramine or <span class=cloze>[...]</span>.	For pathological laughter and crying, second line treatment includes&nbsp;amitriptyline or imipramine or <span class=cloze>nortriptyline or levodopa</span>.<br><br>
Antidepressant discontinuation syndrome is most common in&nbsp;<span class=cloze>[...]</span>.	Antidepressant discontinuation syndrome is most common in&nbsp;<span class=cloze>paroxetine</span>.<br><br>
Antidepressant discontinuation syndrome is least common in&nbsp;<span class=cloze>[...]</span>.	Antidepressant discontinuation syndrome is least common in&nbsp;<span class=cloze>fluoxetine</span>.<br><br>
About <span class=cloze>[...]</span> advanced cancer patients develop a major depression.	About <span class=cloze>5-10%</span> advanced cancer patients develop a major depression.<br><br>
Nortriptyline is a&nbsp;<span class=cloze>[...]</span> and a&nbsp;TCA.	Nortriptyline is a&nbsp;<span class=cloze>noradrenaline reuptake inhibitor</span> and a&nbsp;TCA.<br><br>
Nortriptyline is a&nbsp;noradrenaline reuptake inhibitor and a&nbsp;<span class=cloze>[...]</span>.	Nortriptyline is a&nbsp;noradrenaline reuptake inhibitor and a&nbsp;<span class=cloze>TCA</span>.<br><br>
<span class=cloze>[...]</span> and paroxetine  are strong hepatic enzyme inhibitors.	<span class=cloze>Fluoxetine</span> and paroxetine  are strong hepatic enzyme inhibitors.<br><br>
Fluoxetine and <span class=cloze>[...]</span> are strong hepatic enzyme inhibitors.	Fluoxetine and <span class=cloze>paroxetine </span> are strong hepatic enzyme inhibitors.<br><br>
A combination of IV metoclopromide and IV ondansetron occasionally causes&nbsp;<span class=cloze>[...]</span>.	A combination of IV metoclopromide and IV ondansetron occasionally causes&nbsp;<span class=cloze>cardiac arrythmias</span>.<br><br>
<span class=cloze>[...]</span> can be used to relieve pruritus induced by&nbsp;spinal opioids.	<span class=cloze>IV ondansetron</span> can be used to relieve pruritus induced by&nbsp;spinal opioids.<br><br>
IV ondansetron can be used to relieve pruritus induced by&nbsp;<span class=cloze>[...]</span>.	IV ondansetron can be used to relieve pruritus induced by&nbsp;<span class=cloze>spinal opioids</span>.<br><br>
Paraneoplastic fevers respond to all NSAIDs except&nbsp;<span class=cloze>[...]</span>.	Paraneoplastic fevers respond to all NSAIDs except&nbsp;<span class=cloze>naproxen</span>.<br><br>
Above the age of <span class=cloze>[...]</span> the risks of NSAID related upper GI complications are significantly increased.	Above the age of <span class=cloze>65</span> the risks of NSAID related upper GI complications are significantly increased.<br><br>
If there is a history of&nbsp;<span class=cloze>[...]</span>&nbsp;in the last year&nbsp;the risks of NSAID related upper GI complications are significantly increased.	If there is a history of&nbsp;<span class=cloze>peptic ulcer and GI bleeding</span>&nbsp;in the last year&nbsp;the risks of NSAID related upper GI complications are significantly increased.<br><br>
If there is a history of&nbsp;peptic ulcer and GI bleeding&nbsp;<span class=cloze>[...]</span>&nbsp;the risks of NSAID related upper GI complications are significantly increased.	If there is a history of&nbsp;peptic ulcer and GI bleeding&nbsp;<span class=cloze>in the last year</span>&nbsp;the risks of NSAID related upper GI complications are significantly increased.<br><br>
If there is&nbsp;<span class=cloze>[...]</span> that there is evidence of upper GI bleeding with NSAIDs,&nbsp;the risks of NSAID related upper GI complications are significantly increased.	If there is&nbsp;<span class=cloze>strong clinical suspicion</span> that there is evidence of upper GI bleeding with NSAIDs,&nbsp;the risks of NSAID related upper GI complications are significantly increased.<br><br>
If there is long-term use of&nbsp;<span class=cloze>[...]</span>,&nbsp;the risks of NSAID related upper GI complications are significantly increased.	If there is long-term use of&nbsp;<span class=cloze>max doses of NSAID</span>,&nbsp;the risks of NSAID related upper GI complications are significantly increased.<br><br>
